System,River,BroodYear,Total_Spawners_BroodYear,Total_Recruits,TotRecPerTotSpn
Bristol Bay,Wood,1983,1360968,3326753.39,2.444
Bristol Bay,Wood,1984,1002792,2218667.21,2.212
Bristol Bay,Wood,1985,939000,3303323.53,3.518
Bristol Bay,Wood,1986,818652,4176304.82,5.101
Bristol Bay,Wood,1987,1337172,2897914.16,2.167
Bristol Bay,Wood,1988,866778,3977921.2,4.589
Bristol Bay,Wood,1989,1186410,5106290.76,4.304
Bristol Bay,Wood,1990,1069440,3554147.63,3.323
Bristol Bay,Wood,1991,1159920,6110133.09,5.268
Bristol Bay,Wood,1992,1286250,4537941.109999999,3.528
Bristol Bay,Wood,1993,1180000,3267338.9499999997,2.769
Bristol Bay,Wood,1994,1470000,5887327.87,4.005
Bristol Bay,Wood,1995,1482162,7844735.67,5.293
Bristol Bay,Wood,1996,1649598,7529945.03,4.565
Bristol Bay,Wood,1997,1512396,1237107.12,0.818
Bristol Bay,Wood,1998,1755768,6866648.46,3.911
Bristol Bay,Wood,1999,1512426,5621070.12,3.717
Bristol Bay,Wood,2000,1300026,7238919.45,5.568
Bristol Bay,Wood,2001,1458732,8311690.34,5.698
Bristol Bay,Wood,2002,1283682,8408982.379999999,6.551
Bristol Bay,Wood,2003,1459782,8340090.11,5.713
Bristol Bay,Wood,2004,1543392,8066084.3,5.226
Bristol Bay,Wood,2005,1496550,6718567.2299999995,4.489
Bristol Bay,Wood,2006,4010000,8034985.359999999,2.004
Bristol Bay,Wood,2007,1528086,2826070.96,1.849
Bristol Bay,Wood,2008,1724676,3220102.72,1.867
Bristol Bay,Wood,2009,1320000,3720587.88,2.819
Bristol Bay,Wood,2010,1800000,7123290.7700000005,3.957
Bristol Bay,Wood,2011,1098006,5648663.37,5.144
Bristol Bay,Wood,2012,764211,4655414.55,6.092
Bristol Bay,Wood,2013,1183348,12363437.52,10.448
Bristol Bay,Wood,2014,2760000,24560850.02,8.899
Bristol Bay,Wood,2015,1941474,10377011.709999999,5.345
Bristol Bay,Wood,2016,1309707,7451228.27,5.689
Bristol Bay,Wood,2017,4274224,16906172.92,3.955
Bristol Bay,Wood,2018,7510000,13569274.73,1.807
Bristol Bay,Wood,2019,2073276,5476268.1,2.641
Bristol Bay,Wood,2020,2243886,NA,NA
Bristol Bay,Wood,2021,4410156,NA,NA
Bristol Bay,Wood,2022,3747612,NA,NA
Bristol Bay,Wood,2023,2648616,NA,NA
Bristol Bay,Wood,2024,4404654,NA,NA
Bristol Bay,Wood,2025,2657028,NA,NA
